k,kmedians,kmedoids_pam_build,kmedoids_alternate_random,kmedoids_alternate_heuristic,kmedoids_alternate_plus
1,0.0017480850219726562,0.003398895263671875,0.0017299652099609375,0.0012378692626953125,0.0010809898376464844
2,0.0006709098815917969,0.0032868385314941406,0.0017061233520507812,0.0011169910430908203,0.0009388923645019531
3,0.0006289482116699219,0.002778768539428711,0.0014662742614746094,0.0013778209686279297,0.00121307373046875
4,0.0006659030914306641,0.003002166748046875,0.0016620159149169922,0.001207113265991211,0.0010988712310791016
5,0.0006330013275146484,0.0030868053436279297,0.0015020370483398438,0.0010943412780761719,0.0009098052978515625
6,0.0005779266357421875,0.00275421142578125,0.0013158321380615234,0.0010437965393066406,0.0008823871612548828
7,0.0005471706390380859,0.0026319026947021484,0.0013170242309570312,0.001094818115234375,0.0008890628814697266
8,0.0005550384521484375,0.002635955810546875,0.0012056827545166016,0.001093149185180664,0.0008692741394042969
9,0.0005371570587158203,0.0026259422302246094,0.0011909008026123047,0.0010230541229248047,0.0008599758148193359
10,0.0005629062652587891,0.002869129180908203,0.0013527870178222656,0.0010590553283691406,0.0008876323699951172
11,0.0005559921264648438,0.002716064453125,0.0012631416320800781,0.001050710678100586,0.0008740425109863281
12,0.0005419254302978516,0.0026259422302246094,0.0012080669403076172,0.0010509490966796875,0.0008721351623535156
13,0.0005288124084472656,0.0026209354400634766,0.0011970996856689453,0.001049041748046875,0.0008978843688964844
14,0.0005209445953369141,0.0026183128356933594,0.0011758804321289062,0.0010497570037841797,0.00086212158203125
15,0.0005190372467041016,0.0026819705963134766,0.0011899471282958984,0.0010290145874023438,0.0008661746978759766
16,0.0005218982696533203,0.0026497840881347656,0.0011920928955078125,0.0010330677032470703,0.0008609294891357422
17,0.0005190372467041016,0.002608776092529297,0.0011739730834960938,0.0010831356048583984,0.0008718967437744141
18,0.0005168914794921875,0.0026140213012695312,0.001171112060546875,0.0010199546813964844,0.0008609294891357422
19,0.000518798828125,0.002621173858642578,0.0011768341064453125,0.0010302066802978516,0.0008599758148193359
20,0.0005199909210205078,0.0026040077209472656,0.0011851787567138672,0.0010209083557128906,0.0008559226989746094
21,0.0005209445953369141,0.0026078224182128906,0.0011661052703857422,0.0010368824005126953,0.0008652210235595703
22,0.0005178451538085938,0.0026030540466308594,0.0011699199676513672,0.0010280609130859375,0.0008709430694580078
23,0.0005300045013427734,0.002707958221435547,0.0012230873107910156,0.0010678768157958984,0.0008871555328369141
24,0.0005347728729248047,0.0027840137481689453,0.0013132095336914062,0.0010390281677246094,0.0008687973022460938
25,0.0005450248718261719,0.0026810169219970703,0.0012078285217285156,0.0010421276092529297,0.0008699893951416016
26,0.0005249977111816406,0.0026199817657470703,0.0011820793151855469,0.0011010169982910156,0.0008771419525146484
27,0.0005202293395996094,0.002605915069580078,0.001194000244140625,0.0010280609130859375,0.0009109973907470703
28,0.0005400180816650391,0.0026178359985351562,0.0011889934539794922,0.0010380744934082031,0.0008761882781982422
29,0.0005230903625488281,0.002708911895751953,0.0011782646179199219,0.0010218620300292969,0.0008599758148193359
30,0.0005121231079101562,0.0026099681854248047,0.0012252330780029297,0.0010449886322021484,0.0008511543273925781
31,0.0005118846893310547,0.0026092529296875,0.0011639595031738281,0.0010640621185302734,0.000885009765625
32,0.0005159378051757812,0.0026390552520751953,0.0011839866638183594,0.0010280609130859375,0.0008630752563476562
33,0.000514984130859375,0.0027680397033691406,0.0013339519500732422,0.0011019706726074219,0.0009570121765136719
34,0.0006201267242431641,0.0027692317962646484,0.0013687610626220703,0.0010471343994140625,0.0009529590606689453
35,0.0005488395690917969,0.0026400089263916016,0.0012161731719970703,0.0011088848114013672,0.0010409355163574219
36,0.0005898475646972656,0.0028400421142578125,0.0014452934265136719,0.0011839866638183594,0.0010669231414794922
37,0.0005929470062255859,0.0026988983154296875,0.00127410888671875,0.0010421276092529297,0.0008668899536132812
38,0.0005230903625488281,0.0028448104858398438,0.0013141632080078125,0.0010428428649902344,0.0008740425109863281
39,0.0005497932434082031,0.0026891231536865234,0.001199960708618164,0.001026153564453125,0.0008640289306640625
40,0.0005271434783935547,0.00269317626953125,0.0011758804321289062,0.0010449886322021484,0.0008571147918701172
41,0.0005190372467041016,0.002607107162475586,0.0011668205261230469,0.0010859966278076172,0.0008590221405029297
42,0.0005319118499755859,0.002604961395263672,0.0011680126190185547,0.0010218620300292969,0.0008780956268310547
43,0.0005619525909423828,0.0026280879974365234,0.0011730194091796875,0.001027822494506836,0.0008511543273925781
44,0.0005161762237548828,0.0026879310607910156,0.0011630058288574219,0.0010230541229248047,0.0008561611175537109
45,0.0005249977111816406,0.002602100372314453,0.001161813735961914,0.001024007797241211,0.0008521080017089844
46,0.0005099773406982422,0.0026068687438964844,0.0011529922485351562,0.0010230541229248047,0.000904083251953125
47,0.0005240440368652344,0.002601146697998047,0.0011546611785888672,0.0010211467742919922,0.0008530616760253906
48,0.00051116943359375,0.0026748180389404297,0.0011661052703857422,0.0010178089141845703,0.0008530616760253906
49,0.0005109310150146484,0.0026030540466308594,0.0012102127075195312,0.0010259151458740234,0.0008537769317626953
50,0.0005099773406982422,0.0026001930236816406,0.0011568069458007812,0.0010709762573242188,0.0008709430694580078
51,0.0005090236663818359,0.002605915069580078,0.001177072525024414,0.0010199546813964844,0.0008549690246582031
52,0.0005099773406982422,0.0026679039001464844,0.0011630058288574219,0.0010230541229248047,0.0008568763732910156
53,0.0005121231079101562,0.0026831626892089844,0.0011548995971679688,0.0010228157043457031,0.0008482933044433594
54,0.0005099773406982422,0.0026056766510009766,0.0011591911315917969,0.0010421276092529297,0.0008528232574462891
55,0.0005087852478027344,0.002599954605102539,0.0011622905731201172,0.0010190010070800781,0.0008449554443359375
56,0.0005288124084472656,0.0026481151580810547,0.0011608600616455078,0.0010190010070800781,0.0008549690246582031
57,0.0005109310150146484,0.0026900768280029297,0.0011599063873291016,0.0010292530059814453,0.0008530616760253906
58,0.0005118846893310547,0.002601146697998047,0.0012238025665283203,0.0010192394256591797,0.0008499622344970703
59,0.000514984130859375,0.0026121139526367188,0.0011599063873291016,0.0010209083557128906,0.0008480548858642578
60,0.0005047321319580078,0.002618074417114258,0.0012309551239013672,0.0010211467742919922,0.00084686279296875
61,0.0005209445953369141,0.0026679039001464844,0.0011551380157470703,0.001024007797241211,0.0008509159088134766
62,0.0005249977111816406,0.002837657928466797,0.0013880729675292969,0.001104116439819336,0.0009980201721191406
63,0.0005896091461181641,0.003233194351196289,0.0018169879913330078,0.0013430118560791016,0.0012197494506835938
64,0.0006461143493652344,0.0031762123107910156,0.0018057823181152344,0.0013172626495361328,0.00119781494140625
65,0.000640869140625,0.0030291080474853516,0.0016660690307617188,0.0013010501861572266,0.0011377334594726562
66,0.0006289482116699219,0.002846956253051758,0.0016660690307617188,0.0013492107391357422,0.0011589527130126953
67,0.0006289482116699219,0.0032100677490234375,0.0016589164733886719,0.0013129711151123047,0.0011222362518310547
68,0.0006060600280761719,0.0029098987579345703,0.0015740394592285156,0.0012080669403076172,0.0013060569763183594
69,0.0006031990051269531,0.0026879310607910156,0.0013229846954345703,0.0010440349578857422,0.0009038448333740234
70,0.0005588531494140625,0.003110170364379883,0.0015728473663330078,0.001192331314086914,0.0009417533874511719
71,0.0005857944488525391,0.002811908721923828,0.0012748241424560547,0.0010499954223632812,0.0009720325469970703
72,0.0005767345428466797,0.0029990673065185547,0.0014519691467285156,0.0010571479797363281,0.0009100437164306641
73,0.0005950927734375,0.0028371810913085938,0.0014147758483886719,0.0010538101196289062,0.0008819103240966797
74,0.0005509853363037109,0.0027539730072021484,0.0013649463653564453,0.0010647773742675781,0.0008871555328369141
75,0.0005450248718261719,0.0026476383209228516,0.0011813640594482422,0.001107931137084961,0.000988006591796875
76,0.0006048679351806641,0.002821207046508789,0.0014269351959228516,0.0012030601501464844,0.0010387897491455078
77,0.0005660057067871094,0.0026769638061523438,0.0012328624725341797,0.0010221004486083984,0.0008788108825683594
78,0.0005271434783935547,0.002670764923095703,0.0011761188507080078,0.0010271072387695312,0.0008487701416015625
79,0.0005180835723876953,0.0026929378509521484,0.001190185546875,0.0010209083557128906,0.0008628368377685547
80,0.0005209445953369141,0.002604961395263672,0.0012099742889404297,0.0010581016540527344,0.0008590221405029297
81,0.0005214214324951172,0.002608776092529297,0.001165151596069336,0.0010228157043457031,0.0008552074432373047
82,0.0005388259887695312,0.0026471614837646484,0.0011639595031738281,0.0010197162628173828,0.0008552074432373047
83,0.0005178451538085938,0.0026841163635253906,0.0011680126190185547,0.0010218620300292969,0.0008540153503417969
84,0.0005152225494384766,0.002608776092529297,0.0012450218200683594,0.0010421276092529297,0.0008540153503417969
85,0.000514984130859375,0.002607107162475586,0.0011630058288574219,0.0010221004486083984,0.0008668899536132812
86,0.000537872314453125,0.0026259422302246094,0.0011641979217529297,0.001024007797241211,0.0008528232574462891
87,0.0005147457122802734,0.0027163028717041016,0.0011718273162841797,0.0010218620300292969,0.0008549690246582031
88,0.0005147457122802734,0.002602100372314453,0.0012199878692626953,0.0010440349578857422,0.0008549690246582031
89,0.0005118846893310547,0.00261688232421875,0.0011670589447021484,0.0010950565338134766,0.0008699893951416016
90,0.000518798828125,0.002613067626953125,0.0011577606201171875,0.0010213851928710938,0.0008518695831298828
91,0.0005159378051757812,0.0026979446411132812,0.0011591911315917969,0.0010249614715576172,0.0008521080017089844
92,0.000518798828125,0.0026531219482421875,0.0011739730834960938,0.0010302066802978516,0.0008518695831298828
93,0.0005137920379638672,0.0026040077209472656,0.0011601448059082031,0.0010652542114257812,0.0008568763732910156
94,0.0005238056182861328,0.00263214111328125,0.0011699199676513672,0.0010230541229248047,0.0008530616760253906
95,0.0005240440368652344,0.0026471614837646484,0.0011827945709228516,0.0010139942169189453,0.0008490085601806641
96,0.0005140304565429688,0.0026848316192626953,0.0013189315795898438,0.001049041748046875,0.0008730888366699219
97,0.0005431175231933594,0.0026407241821289062,0.0012042522430419922,0.001149892807006836,0.0008699893951416016
98,0.0005407333374023438,0.002624034881591797,0.0011761188507080078,0.0010900497436523438,0.0008809566497802734
99,0.0006411075592041016,0.0026710033416748047,0.001241922378540039,0.001046895980834961,0.0008692741394042969
